Time,gyro_accuracy,gyro_z,gyro_y,gyro_x,time
2023-05-12 10:26:21.094000000,0,0.607,-0.035,-0.423,0
2023-05-12 10:26:21.104050000,0,0.57,-0.027,-0.392,0.0100500000000466
2023-05-12 10:26:21.114050000,0,0.558,-0.019,-0.423,0.0200500000000466
2023-05-12 10:26:21.124000000,0,0.494,0.019,-0.431,0.03
2023-05-12 10:26:21.134050000,0,0.49,0.042,-0.378,0.0400500000000466
2023-05-12 10:26:21.144050000,0,0.468,0.072,-0.398,0.050050000000163
2023-05-12 10:26:21.154000000,0,0.4,0.066,-0.406,0.0600000000001164
2023-05-12 10:26:21.164050000,0,0.382,0.048,-0.384,0.0700500000000466
2023-05-12 10:26:21.174050000,0,0.349,0.029,-0.339,0.0800500000000466
2023-05-12 10:26:21.184050000,0,0.322,-0.009,-0.357,0.0900500000000466
2023-05-12 10:26:21.194050000,0,0.226,-0.031,-0.302,0.100050000000047
2023-05-12 10:26:21.204050000,0,0.179,-0.052,-0.289,0.110050000000047
2023-05-12 10:26:21.214050000,0,0.156,-0.033,-0.257,0.120050000000047
2023-05-12 10:26:21.224050000,0,0.115,-0.003,-0.201,0.130050000000047
2023-05-12 10:26:21.234050000,0,0.041,0.015,-0.207,0.140050000000047
2023-05-12 10:26:21.244050000,0,0.011,0.035,-0.197,0.150050000000047
2023-05-12 10:26:21.254050000,0,-0.015,0.058,-0.156,0.160050000000047
2023-05-12 10:26:21.264050000,0,-0.068,0.046,-0.115,0.170050000000163
2023-05-12 10:26:21.274050000,0,-0.101,0.025,-0.134,0.180050000000047
2023-05-12 10:26:21.284050000,0,-0.169,-0.003,-0.085,0.190050000000047
2023-05-12 10:26:21.294050000,0,-0.185,-0.027,-0.033,0.200050000000047
2023-05-12 10:26:21.304050000,0,-0.205,-0.042,-0.017,0.210050000000047
2023-05-12 10:26:21.314050000,0,-0.259,-0.039,-0.007,0.220050000000047
2023-05-12 10:26:21.324050000,0,-0.294,-0.029,0.007,0.230050000000047
2023-05-12 10:26:21.334050000,0,-0.302,0.003,0.08,0.240050000000047
2023-05-12 10:26:21.344050000,0,-0.304,0.013,0.08,0.250050000000047
2023-05-12 10:26:21.354050000,0,-0.369,0.041,0.091,0.260050000000047
2023-05-12 10:26:21.364050000,0,-0.392,0.031,0.097,0.270050000000047
2023-05-12 10:26:21.374050000,0,-0.404,0.019,0.158,0.280050000000047
2023-05-12 10:26:21.384050000,0,-0.41,0.007,0.181,0.290050000000047
2023-05-12 10:26:21.394050000,0,-0.455,-0.015,0.179,0.300050000000163
2023-05-12 10:26:21.404050000,0,-0.478,-0.031,0.205,0.310050000000047
2023-05-12 10:26:21.414050000,0,-0.464,-0.029,0.236,0.320050000000047
2023-05-12 10:26:21.424050000,0,-0.472,-0.011,0.253,0.330050000000047
2023-05-12 10:26:21.434050000,0,-0.496,0.017,0.261,0.340050000000047
2023-05-12 10:26:21.444050000,0,-0.517,0.046,0.281,0.350050000000047
2023-05-12 10:26:21.454050000,0,-0.49,0.058,0.283,0.360050000000047
2023-05-12 10:26:21.464050000,0,-0.472,0.06,0.312,0.370050000000047
2023-05-12 10:26:21.474050000,0,-0.47,0.042,0.3,0.380050000000047
2023-05-12 10:26:21.484050000,0,-0.468,0.013,0.255,0.390050000000047
2023-05-12 10:26:21.494050000,0,-0.433,-0.013,0.316,0.400050000000047
2023-05-12 10:26:21.504050000,0,-0.392,-0.046,0.302,0.410050000000047
2023-05-12 10:26:21.514050000,0,-0.39,-0.037,0.283,0.420050000000163
2023-05-12 10:26:21.524050000,0,-0.361,-0.029,0.238,0.430050000000047
2023-05-12 10:26:21.534050000,0,-0.32,0.001,0.287,0.440050000000047
2023-05-12 10:26:21.544050000,0,-0.292,0.033,0.273,0.450050000000047
2023-05-12 10:26:21.554050000,0,-0.267,0.056,0.23,0.460050000000047
2023-05-12 10:26:21.564050000,0,-0.253,0.066,0.208,0.470050000000047
2023-05-12 10:26:21.574050000,0,-0.224,0.044,0.22,0.480050000000047
2023-05-12 10:26:21.584050000,0,-0.179,0.023,0.218,0.490050000000047
2023-05-12 10:26:21.594050000,0,-0.187,-0.007,0.207,0.500050000000047
2023-05-12 10:26:21.604050000,0,-0.164,-0.052,0.189,0.510050000000047
2023-05-12 10:26:21.614050000,0,-0.13,-0.078,0.171,0.520050000000047
2023-05-12 10:26:21.624050000,0,-0.072,-0.07,0.173,0.530050000000047
2023-05-12 10:26:21.634050000,0,-0.06,-0.054,0.136,0.540050000000047
2023-05-12 10:26:21.644050000,0,-0.046,-0.007,0.105,0.550050000000163
2023-05-12 10:26:21.654050000,0,0.021,0.031,0.085,0.560050000000047
2023-05-12 10:26:21.664050000,0,0.054,0.064,0.08,0.570050000000047
